 #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,1,ST,Telangana,Godam Nagesh,Bharatiya Janta Party,1650175,1235597,0.749,90652,0.073
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,2072685,1123779,0.542,271294,0.241
3,Ahmadnagar,37,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,1981866,1325477,0.669,28929,0.022
4,Ahmedabad East,7,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,2038162,1128339,0.554,461755,0.409
5,Ahmedabad West,8,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,1726987,966646,0.56,286437,0.296
6,Ajmer,13,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,1995699,1201179,0.602,329991,0.275
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,1869167,1086953,0.582,44345,0.041
8,Akola,6,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,1890814,1173072,0.62,40626,0.035
9,Alappuzha,15,GEN,Kerala,K. C Venugopal,Indian National Congress,1400082,1058703,0.756,63513,0.06
10,Alathur,9,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),1337496,992268,0.742,20111,0.02
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,1997234,1133366,0.567,15647,0.014
12,Alipurduars,2,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,1773252,1421389,0.802,75447,0.053
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Ujjwal Raman Singh,Indian National Congress,1825730,947000,0.519,58795,0.062
14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1339327,668497,0.499,234097,0.35
15,Alwar,8,GEN,Rajasthan,Bhupender Yadav,Bharatiya Janta Party,2059888,1253438,0.609,48282,0.039
16,Amalapuram,7,SC,Andhra Pradesh [2014 Onwards],G M Harish (BALAYOGI),Telugu Desam,1531410,1301106,0.85,342196,0.263
17,Ambala,1,SC,Haryana,Varun Chaudhry,Indian National Congress,1996708,1346722,0.675,49036,0.036
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Lalji Verma,Samajwadi Party,1911297,1177062,0.616,137247,0.117
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Kishori Lal,Indian National Congress,1796098,980671,0.546,167196,0.17
20,Amravati,7,SC,Maharashtra,Balwant Baswant Wankhade,Indian National Congress,1836078,1173579,0.639,19731,0.017
21,Amreli,14,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,1732810,876426,0.506,321068,0.366
22,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1611263,905656,0.562,40301,0.044
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1716641,1110690,0.647,28670,0.026
24,Anakapalli,5,,Andhra Pradesh [2014 Onwards],C.M.Ramesh,Bharatiya Janta Party,1596916,1325332,0.83,296530,0.224
25,Anand,16,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,1780182,1167969,0.656,89939,0.077
26,Anandpur Sahib,6,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,1732211,1077123,0.622,10846,0.01
27,Anantapur,19,,Andhra Pradesh [2014 Onwards],Ambica G Lakshminarayana Valmiki,Telugu Desam,1767591,1440428,0.815,188555,0.131
28,Anantnag,3,,Jammu & Kashmir,Mian Altaf Ahmad,Jammu & Kashmir National Conference,1836576,1026148,0.559,281794,0.275
29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,315148,202514,0.643,24396,0.12
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Neeraj Maurya,Samajwadi Party,1891713,1088896,0.576,15969,0.015
31,Arakkonam,7,GEN,Tamil Nadu,S Jagathratchakan,Dravida Munnetra Kazhagam,1562871,1163822,0.745,306559,0.263
32,Arambagh,29,SC,West Bengal,Bag Mitali,All India Trinamool Congress,1883266,1559079,0.828,6399,0.004
33,Arani,12,GEN,Tamil Nadu,Tharaniventhan M S,Dravida Munnetra Kazhagam,1496118,1140261,0.762,208766,0.183
34,Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,2018767,1252560,0.621,20094,0.016
35,Arrah,32,GEN,Bihar [2000 Onwards],Sudama Prasad,Communist Party Of India (Marxist-Leninist) (Liberation),2165574,1096561,0.506,59808,0.055
36,Aruku,1,ST,Andhra Pradesh [2014 Onwards],Gumma Thanuja Rani,Yuvajana Sramika Rythu Congress Party,1554633,1164445,0.749,50580,0.043
37,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,375310,323443,0.862,30421,0.094
38,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,517384,399804,0.773,100738,0.252
39,Asansol,40,GEN,West Bengal,Shatrughan Prasad Sinha,All India Trinamool Congress,1770281,1301540,0.735,59564,0.046
40,Aska,19,GEN,Orissa,Anita Subhadarshini,Bharatiya Janta Party,1620974,1017914,0.628,99974,0.098
41,Attingal,19,GEN,Kerala,Adv Adoor Prakash,Indian National Congress,1396807,985341,0.705,684,0.001
42,Aurangabad,19,GEN,Maharashtra,Bhumare Sandipanrao Asaram,Shiv Sena,2059710,1302197,0.632,134650,0.103
43,Aurangabad,37,GEN,Bihar [2000 Onwards],Abhay Kumar Sinha,Rashtriya Janata Dal,1871564,945880,0.505,79111,0.084
44,Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1868165,1054520,0.565,161035,0.153
45,Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Aditya Yadav,Samajwadi Party,2008758,1091764,0.544,34991,0.032
46,Bagalkot,3,GEN,Karnataka,Gaddigoudar. Parvatagouda. Chandanagouda.,Bharatiya Janta Party,1806183,1317561,0.73,68399,0.052
47,Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr Rajkumar Sangwan,Rashtriya Lok Dal,1653146,933773,0.565,159459,0.171
48,Baharaich,56,SC,Uttar Pradesh [2000 Onwards],Anand Kumar,Bharatiya Janta Party,1838684,1056566,0.575,64227,0.061
49,Baharampur,10,GEN,West Bengal,Pathan Yusuf,All India Trinamool Congress,1783078,1384770,0.777,85022,0.061
50,Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Bharti Pardhi,Bharatiya Janta Party,1873653,1382280,0.738,174512,0.126
51,Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1608014,1239635,0.771,147156,0.119
52,Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Sanatan Pandey,Samajwadi Party,1923645,1007322,0.524,43384,0.043
53,Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1561966,1237308,0.792,10386,0.008
54,Banaskantha,2,GEN,Gujarat,Geniben Nagaji Thakor,Indian National Congress,1961924,1375903,0.701,30406,0.022
55,Banda,48,GEN,Uttar Pradesh [2000 Onwards],Krishna Devi Shivshanker Patel,Samajwadi Party,1747425,1044132,0.598,71210,0.068
56,Bangalore Cent,25,GEN,Karnataka,P C Mohan,Bharatiya Janta Party,2433751,1316510,0.541,32707,0.025
57,Bangalore Nort,24,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,3214496,1752504,0.545,259476,0.148
58,Bangalore Rura,23,GEN,Karnataka,Dr C N Manjunath,Bharatiya Janta Party,2802580,1919540,0.685,269647,0.14
59,Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2341759,1249342,0.534,277083,0.222
60,Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1836374,1493108,0.813,73693,0.049
61,Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),1856566,1014155,0.546,103844,0.102
62,Bankura,36,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,1780580,1447674,0.813,32778,0.023
63,Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1820854,944763,0.519,3150,0.003
64,Banswara,20,ST,Rajasthan,Raj Kumar Roat,Bharat Adivasi Party,2200438,1636852,0.744,247054,0.151
65,Bapatla,15,SC,Andhra Pradesh [2014 Onwards],Krishna Prasad Tenneti,Telugu Desam,1506354,1300745,0.864,208031,0.16
66,Barabanki,53,SC,Uttar Pradesh [2000 Onwards],Tanuj Punia,Indian National Congress,1918491,1290634,0.673,215704,0.167
67,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party – Sharadchandra Pawar,2372668,1412349,0.595,158333,0.112
68,Baramulla,1,,Jammu & Kashmir,Abdul Rashid Sheikh,Independent,1737865,1033900,0.595,204142,0.197
69,Barasat,17,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,1905400,1532601,0.804,114189,0.075
70,Bardhaman Purb,38,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,1801333,1497310,0.831,160572,0.107
71,Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,2048408,1339333,0.654,230253,0.172
72,Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Chhatra Pal Singh Gangwar,Bharatiya Janta Party,1924434,1119558,0.582,34804,0.031
73,Bargarh,1,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,1631974,1309864,0.803,251667,0.192
74,Barmer,17,GEN,Rajasthan,Ummeda Ram Beniwal,Indian National Congress,2206237,1688051,0.765,118176,0.07
75,Barpeta,3,GEN,Assam,Phani Bhusan Choudhury,Asom Gana Parishad,1966847,1685943,0.857,222351,0.132
76,Barrackpore,15,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,1508728,1141860,0.757,64438,0.056
77,Basirhat,18,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,1804261,1523401,0.844,333547,0.219
78,Bastar,10,ST,Chhattisgarh,Mahesh Kashyap,Bharatiya Janta Party,1472207,1007395,0.684,55245,0.055
79,Basti,61,GEN,Uttar Pradesh [2000 Onwards],Ram Prasad Chaudhary,Samajwadi Party,1902898,1082870,0.569,100994,0.093
80,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1651188,1151170,0.697,49656,0.043
81,Beed,39,GEN,Maharashtra,Bajrang Manohar Sonwane,Nationalist Congress Party – Sharadchandra Pawar,2142547,1522295,0.711,6553,0.004
82,Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,2196089,1294673,0.59,81480,0.063
83,Belgaum,2,GEN,Karnataka,Jagadish Shettar,Bharatiya Janta Party,1923788,1383889,0.719,178437,0.129
84,Bellary,9,ST,Karnataka,E. Tukaram,Indian National Congress,1884040,1389914,0.738,98992,0.071
85,Berhampur,20,GEN,Orissa,Dr. Pradeep Kumar Panigrahy,Bharatiya Janta Party,1591380,1042923,0.655,165476,0.159
86,Betul,29,ST,Madhya Pradesh [2000 Onwards],Durgadas (D. D.) UIKEY,Bharatiya Janta Party,1895331,1396020,0.737,379761,0.272
87,Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Dr. Vinod Kumar Bind,Bharatiya Janta Party,2037925,1084993,0.532,44072,0.041
88,Bhadrak,7,SC,Orissa,Avimanyu Sethi,Bharatiya Janta Party,1770915,1297377,0.733,91544,0.071
